property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
6dd83d6d-6728-4dd3-802c-e2420034aabf,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
f1b37392-85a7-4278-8e77-523a9fd0d123,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
5996ed95-66bf-4c02-95a2-5c7fcb77aa4e,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
681024d0-dd6a-4b73-a0b2-1029febc2137,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
4c34fd2c-0fe9-4434-9ad5-43ce1d51108e,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
6ed27ad4-814a-4a6b-915e-81596ff38eba,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
e4917add-072b-49dc-acf0-8f42d39539ee,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
eb2bf75c-364b-403c-a4d7-a1520e7ddc88,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
be657926-114f-4490-abd2-66476b427de7,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
c05b34c6-f389-431d-bc83-e38153879f85,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
